Coin,Trades,Total_PnL,Avg_PnL,Win_Rate
@107,17166,2783912.919016,162.17598269928928,81.7
HYPE,31985,1948061.879589,60.905483182398,88.15
SOL,5016,1628228.431802,324.6069441391547,83.85
ETH,5205,1314431.630252,252.5324938044188,76.87
BTC,11026,886294.84611,80.38226429439507,82.82
MELANIA,2209,389131.014801,176.15709135400635,88.91
ENA,331,210617.130194,636.3055292870091,93.35
SUI,890,199158.320586,223.7733939168539,93.93
DOGE,458,147501.307914,322.0552574541485,87.55
ZRO,786,126299.327663,160.6861675101781,56.87
PURR/USDC,1282,75261.058019,58.70597349375976,77.15
AIXBT,494,73712.168895,149.21491679149796,96.36
BERA,606,72854.813097,120.22246385643565,89.44
USUAL,430,69631.943237,161.9347517139535,75.12
AVAX,106,48297.313845000004,455.63503627358494,95.28
